,coef
"AGE_[41.0, 57.0)",2.61531791
"AGE_[57.0, 67.0)",3.13512041
"AGE_[67.0, 78.0)",3.19754005
"AGE_[78.0, 199.0)",4.05842934
"PULSE_[68.5, 77.5)",0.01243428
"PULSE_[77.5, 85.5)",0.09422471
"PULSE_[85.5, 98.0)",0.42906544
"PULSE_[98.0, 282.0)",1.38000032
"RESPIRATION_[16.0, 18.0)",-0.68844173
"RESPIRATION_[18.0, 144.0)",-0.50154143
"SAO2_[97.0, 98.5)",-0.72256937
"SAO2_[98.5, 200.0)",-0.54994278
"BPDIASTOLIC_[62.5, 70.5)",-0.10613195
"BPDIASTOLIC_[70.5, 76.5)",-0.43796646
"BPDIASTOLIC_[76.5, 85.5)",-0.46311283
"BPDIASTOLIC_[85.5, 5898.0)",-0.05484582
"BPSYSTOLIC_[113.5, 126.0)",-0.56080001
"BPSYSTOLIC_[126.0, 137.0)",-0.9648961
"BPSYSTOLIC_[137.0, 153.0)",-1.33840128
"BPSYSTOLIC_[153.0, 1046.0)",-1.40535615
GENDER_M_1.0,0.38040379
