,coef
"AGE_[41.0, 57.0)",2.37611516
"AGE_[57.0, 67.0)",2.90903844
"AGE_[67.0, 78.0)",3.29379451
"AGE_[78.0, 199.0)",3.950971
"PULSE_[68.5, 77.5)",0.01328086
"PULSE_[77.5, 85.5)",0.25768464
"PULSE_[85.5, 98.0)",0.6836155
"PULSE_[98.0, 282.0)",1.48548541
"RESPIRATION_[16.0, 18.0)",-0.98432588
"RESPIRATION_[18.0, 144.0)",-0.52568265
"SAO2_[97.0, 98.5)",-0.89006447
"SAO2_[98.5, 200.0)",-0.40931252
"BPDIASTOLIC_[62.5, 70.5)",-0.40035909
"BPDIASTOLIC_[70.5, 76.5)",-0.68632049
"BPDIASTOLIC_[76.5, 85.5)",-0.62335702
"BPDIASTOLIC_[85.5, 5898.0)",-0.32175881
"BPSYSTOLIC_[113.5, 126.0)",-0.46341683
"BPSYSTOLIC_[126.0, 137.0)",-0.82527753
"BPSYSTOLIC_[137.0, 153.0)",-1.14693554
"BPSYSTOLIC_[153.0, 1046.0)",-1.2767662
GENDER_M_1.0,0.20378159
