,coef
"AGE_[41.0, 57.0)",0.05773572
"AGE_[57.0, 67.0)",0.29901768
"AGE_[67.0, 78.0)",0.26338002
"AGE_[78.0, 206.0)",0.666343
"PULSE_[68.5, 77.5)",-0.19794334
"PULSE_[77.5, 85.5)",-0.16904298
"PULSE_[85.5, 98.0)",0.02723309
"PULSE_[98.0, 345.0)",0.50275324
"RESPIRATION_[16.0, 18.0)",-0.46749017
"RESPIRATION_[18.0, 146.0)",-0.41199091
"SAO2_[97.0, 98.5)",-0.45896327
"SAO2_[98.5, 200.0)",-0.36953069
"BPDIASTOLIC_[62.5, 70.5)",-0.12044517
"BPDIASTOLIC_[70.5, 76.5)",-0.29807047
"BPDIASTOLIC_[76.5, 85.5)",-0.34506802
"BPDIASTOLIC_[85.5, 278.0)",-0.15458181
"BPSYSTOLIC_[113.5, 126.0)",-0.23315368
"BPSYSTOLIC_[126.0, 137.0)",-0.41686412
"BPSYSTOLIC_[137.0, 153.0)",-0.60747855
"BPSYSTOLIC_[153.0, 375.0)",-0.59427408
GENDER_M_1.0,0.22031287
Renal_1_1.0,0.34981458
