,coef
"AGE_[41.0, 57.0)",2.44129011
"AGE_[57.0, 67.0)",3.0339004
"AGE_[67.0, 78.0)",3.45172206
"AGE_[78.0, 206.0)",4.1332478
"PULSE_[68.5, 77.5)",-0.00816092
"PULSE_[77.5, 85.5)",0.26079953
"PULSE_[85.5, 98.0)",0.67751464
"PULSE_[98.0, 345.0)",1.5687407
"RESPIRATION_[16.0, 18.0)",-1.0209026
"RESPIRATION_[18.0, 146.0)",-0.54343979
"BPDIASTOLIC_[62.5, 70.5)",-0.41457786
"BPDIASTOLIC_[70.5, 76.5)",-0.70616295
"BPDIASTOLIC_[76.5, 85.5)",-0.65682041
"BPDIASTOLIC_[85.5, 278.0)",-0.32545629
"BPSYSTOLIC_[113.5, 126.0)",-0.48619045
"BPSYSTOLIC_[126.0, 137.0)",-0.85528311
"BPSYSTOLIC_[137.0, 153.0)",-1.19529022
"BPSYSTOLIC_[153.0, 375.0)",-1.34959296
