,coef
"AGE_[41.0, 57.0)",33.92637206
"AGE_[57.0, 67.0)",34.79719504
"AGE_[67.0, 78.0)",35.46570997
"AGE_[78.0, 206.0)",36.61806341
"PULSE_[68.5, 77.5)",-1.95880828
"PULSE_[77.5, 85.5)",-1.3911883
"PULSE_[85.5, 98.0)",-0.74363067
"PULSE_[98.0, 345.0)",1.43862899
"RESPIRATION_[16.0, 18.0)",-0.89873213
"RESPIRATION_[18.0, 146.0)",0.0776607
"SAO2_[97.0, 98.5)",-1.67870285
"SAO2_[98.5, 200.0)",-0.80031575
"BPDIASTOLIC_[62.5, 70.5)",-1.61365982
"BPDIASTOLIC_[70.5, 76.5)",-2.54079116
"BPDIASTOLIC_[76.5, 85.5)",-2.53158731
"BPDIASTOLIC_[85.5, 278.0)",-1.86184105
"BPSYSTOLIC_[113.5, 126.0)",-0.95271534
"BPSYSTOLIC_[126.0, 137.0)",-1.44317828
"BPSYSTOLIC_[137.0, 153.0)",-1.81801647
"BPSYSTOLIC_[153.0, 375.0)",-1.85767749
GENDER_M_1.0,0.51603691
